Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00055 PSNR=20.150, SSIM=0.7760 pre_time:0.006s, forward_time:0.022s, post_time:0.013s, total_time:0.041s, prior_image:False
> 00056 PSNR=18.595, SSIM=0.7632 pre_time:0.005s, forward_time:0.022s, post_time:0.032s, total_time:0.059s, prior_image:False
> 00000 PSNR=21.872, SSIM=0.7490 pre_time:0.006s, forward_time:0.022s, post_time:0.037s, total_time:0.065s, prior_image:False
> 00001 PSNR=22.007, SSIM=0.7607 pre_time:0.021s, forward_time:0.022s, post_time:0.065s, total_time:0.108s, prior_image:False
> 00002 PSNR=21.901, SSIM=0.7614 pre_time:0.006s, forward_time:0.023s, post_time:0.063s, total_time:0.092s, prior_image:False
> 00003 PSNR=22.157, SSIM=0.7697 pre_time:0.007s, forward_time:0.023s, post_time:0.014s, total_time:0.045s, prior_image:False
> 00004 PSNR=21.850, SSIM=0.7587 pre_time:0.005s, forward_time:0.023s, post_time:0.038s, total_time:0.066s, prior_image:False
> 00005 PSNR=22.003, SSIM=0.7724 pre_time:0.005s, forward_time:0.023s, post_time:0.076s, total_time:0.105s, prior_image:False
> 00006 PSNR=21.230, SSIM=0.7661 pre_time:0.004s, forward_time:0.023s, post_time:0.016s, total_time:0.043s, prior_image:False
> 00007 PSNR=21.160, SSIM=0.7719 pre_time:0.005s, forward_time:0.023s, post_time:0.074s, total_time:0.101s, prior_image:False
> 00008 PSNR=21.475, SSIM=0.7814 pre_time:0.005s, forward_time:0.023s, post_time:0.047s, total_time:0.076s, prior_image:False
> 00009 PSNR=21.050, SSIM=0.7666 pre_time:0.005s, forward_time:0.023s, post_time:0.079s, total_time:0.107s, prior_image:False
> 00010 PSNR=21.165, SSIM=0.7576 pre_time:0.005s, forward_time:0.024s, post_time:0.039s, total_time:0.068s, prior_image:False
> 00011 PSNR=21.667, SSIM=0.7631 pre_time:0.004s, forward_time:0.024s, post_time:0.060s, total_time:0.088s, prior_image:False
> 00012 PSNR=22.135, SSIM=0.7724 pre_time:0.449s, forward_time:0.026s, post_time:0.189s, total_time:0.664s, prior_image:False
> 00013 PSNR=22.142, SSIM=0.7840 pre_time:0.006s, forward_time:0.026s, post_time:0.058s, total_time:0.091s, prior_image:False
> 00014 PSNR=21.332, SSIM=0.7763 pre_time:0.005s, forward_time:0.026s, post_time:0.043s, total_time:0.073s, prior_image:False
> 00015 PSNR=21.231, SSIM=0.7762 pre_time:0.005s, forward_time:0.026s, post_time:0.084s, total_time:0.115s, prior_image:False
> 00016 PSNR=21.680, SSIM=0.7763 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.043s, prior_image:False
> 00017 PSNR=22.069, SSIM=0.7841 pre_time:0.004s, forward_time:0.026s, post_time:0.066s, total_time:0.097s, prior_image:False
> 00018 PSNR=22.123, SSIM=0.7907 pre_time:0.004s, forward_time:0.026s, post_time:0.013s, total_time:0.043s, prior_image:False
> 00019 PSNR=20.299, SSIM=0.7622 pre_time:0.004s, forward_time:0.026s, post_time:0.042s, total_time:0.072s, prior_image:False
> 00020 PSNR=20.538, SSIM=0.7803 pre_time:0.004s, forward_time:0.026s, post_time:0.047s, total_time:0.077s, prior_image:False
> 00021 PSNR=20.566, SSIM=0.7842 pre_time:0.004s, forward_time:0.026s, post_time:0.048s, total_time:0.078s, prior_image:False
> 00022 PSNR=20.762, SSIM=0.7858 pre_time:0.004s, forward_time:0.026s, post_time:0.115s, total_time:0.145s, prior_image:False
> 00023 PSNR=20.860, SSIM=0.7859 pre_time:0.006s, forward_time:0.026s, post_time:0.052s, total_time:0.084s, prior_image:False
