Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
> 00032 PSNR=18.473, SSIM=0.6056 pre_time:0.004s, forward_time:0.017s, post_time:0.005s, total_time:0.026s, prior_image:False
> 00033 PSNR=17.881, SSIM=0.5946 pre_time:0.003s, forward_time:0.017s, post_time:0.048s, total_time:0.068s, prior_image:False
> 00034 PSNR=17.775, SSIM=0.5889 pre_time:0.003s, forward_time:0.017s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00035 PSNR=17.822, SSIM=0.5926 pre_time:0.003s, forward_time:0.017s, post_time:0.050s, total_time:0.070s, prior_image:False
> 00036 PSNR=18.096, SSIM=0.6097 pre_time:0.004s, forward_time:0.017s, post_time:0.064s, total_time:0.085s, prior_image:False
> 00037 PSNR=18.035, SSIM=0.6126 pre_time:0.005s, forward_time:0.017s, post_time:0.007s, total_time:0.030s, prior_image:False
> 00038 PSNR=19.346, SSIM=0.6717 pre_time:0.004s, forward_time:0.017s, post_time:0.015s, total_time:0.036s, prior_image:False
> 00039 PSNR=20.428, SSIM=0.7441 pre_time:0.004s, forward_time:0.017s, post_time:0.006s, total_time:0.028s, prior_image:False
> 00040 PSNR=21.595, SSIM=0.7957 pre_time:0.003s, forward_time:0.017s, post_time:0.006s, total_time:0.027s, prior_image:False
> 00041 PSNR=20.136, SSIM=0.7590 pre_time:0.003s, forward_time:0.016s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00042 PSNR=18.501, SSIM=0.6778 pre_time:0.004s, forward_time:0.016s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00043 PSNR=17.742, SSIM=0.6346 pre_time:0.004s, forward_time:0.016s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00044 PSNR=17.373, SSIM=0.6121 pre_time:0.004s, forward_time:0.016s, post_time:0.006s, total_time:0.026s, prior_image:False
> 00045 PSNR=17.593, SSIM=0.6201 pre_time:0.004s, forward_time:0.016s, post_time:0.038s, total_time:0.058s, prior_image:False
> 00046 PSNR=17.835, SSIM=0.6270 pre_time:0.005s, forward_time:0.016s, post_time:0.006s, total_time:0.027s, prior_image:False
> 00047 PSNR=18.541, SSIM=0.6700 pre_time:0.003s, forward_time:0.015s, post_time:0.116s, total_time:0.134s, prior_image:False
> 00048 PSNR=19.214, SSIM=0.6949 pre_time:0.004s, forward_time:0.013s, post_time:0.053s, total_time:0.070s, prior_image:False
> 00049 PSNR=19.248, SSIM=0.7172 pre_time:0.004s, forward_time:0.013s, post_time:0.051s, total_time:0.068s, prior_image:False
> 00050 PSNR=19.559, SSIM=0.7196 pre_time:0.004s, forward_time:0.013s, post_time:0.006s, total_time:0.023s, prior_image:False
> 00051 PSNR=19.579, SSIM=0.7209 pre_time:0.003s, forward_time:0.013s, post_time:0.053s, total_time:0.069s, prior_image:False
> 00052 PSNR=19.543, SSIM=0.7126 pre_time:0.003s, forward_time:0.013s, post_time:0.043s, total_time:0.059s, prior_image:False
> 00053 PSNR=19.693, SSIM=0.7170 pre_time:0.004s, forward_time:0.013s, post_time:0.006s, total_time:0.023s, prior_image:False
> 00054 PSNR=19.601, SSIM=0.7169 pre_time:0.004s, forward_time:0.013s, post_time:0.045s, total_time:0.062s, prior_image:False
> 00055 PSNR=19.681, SSIM=0.7131 pre_time:0.004s, forward_time:0.013s, post_time:0.006s, total_time:0.023s, prior_image:False
> 00056 PSNR=20.705, SSIM=0.7207 pre_time:0.004s, forward_time:0.013s, post_time:0.007s, total_time:0.024s, prior_image:False
> 00000 PSNR=19.922, SSIM=0.6221 pre_time:0.005s, forward_time:0.013s, post_time:0.066s, total_time:0.084s, prior_image:False
> 00001 PSNR=20.127, SSIM=0.6319 pre_time:0.019s, forward_time:0.013s, post_time:0.043s, total_time:0.075s, prior_image:False
> 00002 PSNR=20.249, SSIM=0.6376 pre_time:0.005s, forward_time:0.013s, post_time:0.007s, total_time:0.025s, prior_image:False
> 00003 PSNR=20.495, SSIM=0.6400 pre_time:0.004s, forward_time:0.013s, post_time:0.046s, total_time:0.064s, prior_image:False
> 00004 PSNR=20.666, SSIM=0.6346 pre_time:0.004s, forward_time:0.013s, post_time:0.046s, total_time:0.064s, prior_image:False
> 00005 PSNR=20.721, SSIM=0.6599 pre_time:0.003s, forward_time:0.013s, post_time:0.051s, total_time:0.067s, prior_image:False
> 00006 PSNR=20.686, SSIM=0.6452 pre_time:0.004s, forward_time:0.013s, post_time:0.056s, total_time:0.073s, prior_image:False
> 00007 PSNR=20.669, SSIM=0.6471 pre_time:0.004s, forward_time:0.013s, post_time:0.051s, total_time:0.068s, prior_image:False
> 00008 PSNR=20.659, SSIM=0.6539 pre_time:0.004s, forward_time:0.013s, post_time:0.049s, total_time:0.066s, prior_image:False
> 00009 PSNR=20.066, SSIM=0.6527 pre_time:0.004s, forward_time:0.013s, post_time:0.042s, total_time:0.059s, prior_image:False
> 00010 PSNR=19.874, SSIM=0.6263 pre_time:0.004s, forward_time:0.013s, post_time:0.025s, total_time:0.043s, prior_image:False
> 00011 PSNR=19.973, SSIM=0.6275 pre_time:0.004s, forward_time:0.013s, post_time:0.044s, total_time:0.062s, prior_image:False
> 00012 PSNR=20.327, SSIM=0.6438 pre_time:0.004s, forward_time:0.013s, post_time:0.030s, total_time:0.047s, prior_image:False
> 00013 PSNR=20.348, SSIM=0.6590 pre_time:0.004s, forward_time:0.013s, post_time:0.006s, total_time:0.023s, prior_image:False
> 00014 PSNR=19.971, SSIM=0.6449 pre_time:0.003s, forward_time:0.013s, post_time:0.027s, total_time:0.043s, prior_image:False
> 00015 PSNR=19.954, SSIM=0.6446 pre_time:0.004s, forward_time:0.013s, post_time:0.064s, total_time:0.081s, prior_image:False
> 00016 PSNR=20.151, SSIM=0.6647 pre_time:0.004s, forward_time:0.013s, post_time:0.052s, total_time:0.070s, prior_image:False
> 00017 PSNR=20.423, SSIM=0.6816 pre_time:0.004s, forward_time:0.013s, post_time:0.006s, total_time:0.023s, prior_image:False
> 00018 PSNR=20.468, SSIM=0.6863 pre_time:0.004s, forward_time:0.013s, post_time:0.053s, total_time:0.070s, prior_image:False
> 00019 PSNR=19.753, SSIM=0.6672 pre_time:0.005s, forward_time:0.013s, post_time:0.006s, total_time:0.025s, prior_image:False
> 00020 PSNR=19.950, SSIM=0.6824 pre_time:0.015s, forward_time:0.013s, post_time:0.056s, total_time:0.085s, prior_image:False
> 00021 PSNR=20.151, SSIM=0.6915 pre_time:0.005s, forward_time:0.013s, post_time:0.053s, total_time:0.071s, prior_image:False
> 00022 PSNR=20.256, SSIM=0.7022 pre_time:0.004s, forward_time:0.017s, post_time:0.064s, total_time:0.085s, prior_image:False
> 00023 PSNR=20.227, SSIM=0.7077 pre_time:0.004s, forward_time:0.017s, post_time:0.051s, total_time:0.073s, prior_image:False
